"bf","race2","income","educ","female","age","partyid","region","vote1a","vote2a","vote1b","vote2b","pt"
"Non-Recipient","Other",3,3,1,22,1,"North",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,3,1,33,1,"North",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,3,0,33,1,"North",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,1,20,1,"North",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,4,1,29,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,25,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,36,2,"Northeast",1,1,"Incumbent","Incumbent",1
"Non-Recipient","Afro-Brazilian",3,2,1,36,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,1,21,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,1,0,57,2,"Northeast",1,1,"Incumbent","Incumbent",1
"Non-Recipient","Other",1,2,0,31,1,"Northeast",1,0,"Incumbent",NA,0
"Non-Recipient","Afro-Brazilian",2,2,0,25,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,3,1,31,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,1,1,66,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,1,0,54,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",NA,4,1,32,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,0,53,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",4,3,0,28,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,4,1,55,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,3,1,36,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,1,1,66,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,0,37,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,3,0,21,1,"Sountheast",1,NA,"Incumbent",NA,0
"Non-Recipient","Afro-Brazilian",3,2,0,63,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,3,1,23,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,3,0,32,1,"Sountheast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",1,3,1,22,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Other",3,4,0,42,2,"Sountheast",1,1,"Opposition","Opposition",1
"Recipient","Other",NA,3,1,29,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,4,4,1,32,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,1,1,52,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,2,1,46,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",4,3,0,22,1,"Midwest",0,1,NA,"Opposition",0
"Non-Recipient","Other",3,1,0,66,4,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,3,1,22,1,"Midwest",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,2,1,33,NA,"Sountheast",1,1,"Incumbent","Incumbent",NA
"Non-Recipient","Other",3,3,0,22,1,"North",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,2,0,31,3,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,4,0,35,3,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,NA,1,64,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,0,48,4,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,2,1,36,1,"Midwest",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,3,0,47,5,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,2,0,48,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,3,0,37,2,"Northeast",1,0,"Opposition",NA,1
"Non-Recipient","Afro-Brazilian",2,1,0,64,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,0,52,2,"Northeast",1,1,"Opposition","Opposition",1
"Non-Recipient","Other",3,3,0,39,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,4,1,20,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",NA,3,1,56,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,4,0,57,5,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,2,1,53,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",3,4,1,52,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,2,0,74,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,3,0,43,NA,"Sountheast",1,1,"Opposition","Opposition",NA
"Non-Recipient","Afro-Brazilian",3,3,1,41,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient",NA,3,4,1,27,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,4,1,34,5,"Sountheast",1,0,"Opposition",NA,0
"Non-Recipient","Afro-Brazilian",2,4,1,43,4,"North",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,NA,1,52,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,23,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",4,4,0,37,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,3,0,20,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,2,1,28,1,"Northeast",1,0,"Incumbent",NA,0
"Recipient","Afro-Brazilian",2,3,0,21,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,NA,1,49,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,3,0,25,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,4,1,33,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Other",NA,4,1,32,1,"Sountheast",1,0,"Incumbent",NA,0
"Non-Recipient","Afro-Brazilian",3,2,0,35,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,4,0,37,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",NA,1,1,83,1,"South",0,0,NA,NA,0
"Non-Recipient","Other",2,1,1,78,1,"South",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,3,0,31,4,"South",1,1,"Incumbent","Opposition",0
"Non-Recipient","Afro-Brazilian",5,3,0,24,5,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,1,0,53,1,"Midwest",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,4,1,32,1,"Northeast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",4,4,0,50,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,2,0,62,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,5,0,49,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Non-Recipient",NA,2,3,0,24,1,"South",0,0,NA,NA,0
"Recipient","Other",5,3,0,55,5,"South",1,1,"Opposition","Incumbent",0
"Non-Recipient","Other",7,3,0,26,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,3,0,24,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,2,1,51,1,"Midwest",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,2,0,46,1,"North",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,4,0,62,1,"South",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,52,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,4,1,54,1,"South",1,1,"Opposition","Incumbent",0
"Non-Recipient","Other",3,4,1,70,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,4,1,24,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,2,1,37,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,4,0,29,1,"South",1,1,"Incumbent","Opposition",0
"Non-Recipient","Afro-Brazilian",4,4,1,34,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,3,1,23,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,4,0,42,2,"Sountheast",1,1,"Incumbent","Incumbent",1
"Non-Recipient","Afro-Brazilian",3,4,1,28,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,3,1,45,1,"South",0,1,NA,"Opposition",0
"Non-Recipient","Afro-Brazilian",2,3,1,30,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,1,57,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,NA,1,1,64,NA,"Sountheast",1,1,"Incumbent","Incumbent",NA
"Recipient","Other",3,2,1,36,1,"Midwest",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",4,4,0,34,1,"North",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,1,1,1,70,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,5,0,51,2,"Northeast",1,1,"Incumbent","Incumbent",1
"Non-Recipient","Other",4,4,1,58,1,"South",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,5,1,22,1,"South",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",7,3,0,20,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,4,0,27,5,"South",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,3,3,0,24,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",2,3,1,39,1,"South",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,3,1,42,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,3,1,25,1,"South",1,0,"Opposition",NA,0
"Non-Recipient","Other",2,3,0,70,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,3,0,47,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,1,63,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Other",3,1,0,68,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,3,1,46,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,4,0,29,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",7,3,0,22,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,2,0,43,1,"Northeast",1,0,"Incumbent",NA,0
"Non-Recipient","Other",3,2,1,52,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,1,29,2,"South",1,1,"Incumbent","Incumbent",1
"Recipient","Afro-Brazilian",3,3,0,43,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,2,1,46,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",5,5,0,33,5,"South",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,31,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",4,3,0,19,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,4,1,29,1,"North",1,0,"Incumbent",NA,0
"Non-Recipient","Afro-Brazilian",2,2,0,37,1,"North",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,1,1,72,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,1,1,73,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,23,1,"Sountheast",1,1,NA,NA,0
"Non-Recipient","Other",4,4,0,50,4,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,4,0,37,5,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,1,30,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,2,1,48,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",5,2,1,46,1,"Sountheast",0,1,NA,"Incumbent",0
"Non-Recipient","Afro-Brazilian",4,3,0,26,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,33,1,"Midwest",1,1,"Opposition","Incumbent",0
"Non-Recipient",NA,3,4,1,21,1,"Midwest",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",4,1,0,63,1,"North",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,5,1,32,5,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,4,1,34,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,3,1,22,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,2,0,65,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,4,0,45,5,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,2,1,35,1,"Midwest",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,NA,0,59,1,"Midwest",0,0,NA,NA,0
"Recipient","Afro-Brazilian",2,1,1,55,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",1,2,1,37,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,35,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,4,0,66,1,"Sountheast",1,0,"Opposition",NA,0
"Recipient","Afro-Brazilian",1,3,1,55,1,"Northeast",1,1,NA,"Opposition",0
"Recipient","Afro-Brazilian",1,3,1,34,1,"North",0,0,NA,NA,0
"Recipient","Other",4,4,1,46,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,3,1,32,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,3,1,16,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,0,28,1,"Northeast",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",7,3,1,31,1,"Midwest",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,39,1,"Midwest",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,1,39,1,"Sountheast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",3,2,1,55,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,2,0,19,1,"Sountheast",0,1,NA,"Opposition",0
"Recipient","Other",3,4,0,25,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",1,4,1,66,1,"Sountheast",1,0,"Opposition",NA,0
"Recipient","Afro-Brazilian",1,3,1,21,1,"Sountheast",0,0,NA,NA,0
"Recipient","Other",2,3,0,45,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,2,1,39,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,3,0,43,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,1,1,38,1,"South",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",NA,2,0,53,1,"South",0,0,NA,NA,0
"Recipient","Afro-Brazilian",3,2,1,20,1,"Sountheast",1,0,"Incumbent",NA,0
"Recipient","Afro-Brazilian",3,1,1,45,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,53,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,1,0,43,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,5,1,32,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,2,0,35,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",4,3,1,55,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,2,1,48,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,3,1,33,1,"Sountheast",1,0,"Opposition",NA,0
"Non-Recipient","Other",5,5,1,43,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,NA,0,46,1,"Northeast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",2,NA,1,73,1,"Northeast",1,0,"Incumbent",NA,0
"Non-Recipient","Afro-Brazilian",2,4,1,28,1,"North",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,4,0,31,1,"North",0,0,NA,NA,0
"Non-Recipient","Other",4,4,0,55,1,"North",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,3,1,45,1,"North",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",2,3,1,44,1,"North",1,1,NA,NA,0
"Non-Recipient","Afro-Brazilian",6,4,0,22,1,"North",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",NA,2,0,37,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",1,NA,0,89,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,30,1,"Northeast",1,1,NA,NA,0
"Non-Recipient","Afro-Brazilian",6,4,1,24,1,"Northeast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",7,4,0,38,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,4,1,33,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",3,3,0,46,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,1,1,43,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,3,0,37,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,2,1,52,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,4,1,26,1,"Sountheast",1,NA,NA,NA,0
"Recipient","Afro-Brazilian",NA,5,0,32,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Other",NA,3,1,20,1,"Sountheast",0,1,NA,"Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,0,42,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,1,0,54,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",NA,4,1,58,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",NA,4,1,35,1,"Sountheast",1,1,NA,NA,0
"Non-Recipient","Other",3,1,1,44,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Other",3,4,0,32,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",3,3,1,36,1,"South",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",2,3,1,35,1,"South",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,3,0,44,5,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,3,1,0,66,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",1,3,0,23,1,"North",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",1,3,1,32,1,"North",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,2,1,43,1,"North",1,1,"Incumbent","Opposition",0
"Recipient","Afro-Brazilian",4,1,0,33,1,"North",1,1,"Opposition","Incumbent",0
"Recipient","Afro-Brazilian",4,4,1,25,1,"North",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",5,4,0,22,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",2,NA,1,69,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",3,3,1,21,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,0,29,1,"Northeast",1,1,"Opposition","Opposition",0
"Recipient","Afro-Brazilian",7,1,0,51,1,"Northeast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,3,0,36,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Other",2,4,0,67,1,"Sountheast",0,0,NA,NA,0
"Recipient","Afro-Brazilian",2,2,1,29,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",5,2,0,35,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient",NA,3,4,0,58,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",3,3,1,63,1,"Sountheast",0,1,NA,"Opposition",0
"Non-Recipient","Afro-Brazilian",3,1,1,66,1,"Sountheast",0,1,NA,"Incumbent",0
"Recipient","Afro-Brazilian",2,NA,0,58,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",5,1,1,83,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",NA,3,0,54,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Other",3,3,1,26,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",NA,4,0,25,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",4,5,1,60,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,3,0,58,5,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,4,1,34,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,3,1,24,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,4,0,34,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,4,1,27,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",2,2,1,48,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Other",4,3,0,56,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Other",2,2,0,25,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,3,1,41,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient",NA,3,3,0,36,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Other",4,4,1,32,1,"Sountheast",1,1,"Opposition","Opposition",0
"Recipient","Other",NA,2,1,34,1,"Sountheast",1,1,"Opposition","Incumbent",0
"Non-Recipient","Afro-Brazilian",3,2,0,42,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",1,3,0,28,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",NA,NA,0,69,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,2,1,21,1,"Sountheast",0,0,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,3,1,58,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Recipient","Afro-Brazilian",3,2,1,31,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",3,3,1,33,1,"Sountheast",0,1,NA,"Opposition",0
"Recipient","Afro-Brazilian",3,3,1,35,1,"Sountheast",1,1,"Opposition","Opposition",0
"Non-Recipient","Afro-Brazilian",2,2,0,26,1,"Sountheast",1,1,"Incumbent","Incumbent",0
"Non-Recipient","Afro-Brazilian",1,1,1,68,1,"Sountheast",0,1,NA,"Incumbent",0
"Non-Recipient","Other",NA,3,0,38,1,"Sountheast",1,1,NA,NA,0
"Non-Recipient","Afro-Brazilian",3,3,0,55,1,"Sountheast",1,1,"Opposition","Opposition",0
